,ball_no,total_innings,mean_runs,cumal_runs,batsman
34,35,114.0,0.885964912281,27.0565518228,ViratKohli
35,36,113.0,0.849557522124,27.906109345,ViratKohli
36,37,111.0,0.792792792793,28.6989021377,ViratKohli
37,38,110.0,0.7,29.3989021377,ViratKohli
38,39,109.0,0.669724770642,30.0686269084,ViratKohli
39,40,107.0,0.990654205607,31.059281114,ViratKohli
40,41,107.0,0.96261682243,32.0218979364,ViratKohli
41,42,104.0,0.875,32.8968979364,ViratKohli
42,43,102.0,1.05882352941,33.9557214658,ViratKohli
43,44,102.0,1.00980392157,34.9655253874,ViratKohli
44,45,100.0,0.95,35.9155253874,ViratKohli
45,46,100.0,0.98,36.8955253874,ViratKohli
46,47,99.0,0.878787878788,37.7743132662,ViratKohli
47,48,97.0,1.03092783505,38.8052411012,ViratKohli
48,49,97.0,0.989690721649,39.7949318229,ViratKohli
49,50,97.0,0.938144329897,40.7330761528,ViratKohli
50,51,96.0,0.854166666667,41.5872428195,ViratKohli
51,52,94.0,1.13829787234,42.7255406918,ViratKohli
52,53,90.0,0.955555555556,43.6810962474,ViratKohli
53,54,90.0,1.04444444444,44.7255406918,ViratKohli
54,55,87.0,0.83908045977,45.5646211516,ViratKohli
55,56,86.0,0.744186046512,46.3088071981,ViratKohli
56,57,85.0,1.08235294118,47.3911601393,ViratKohli
57,58,84.0,1.09523809524,48.4863982345,ViratKohli
58,59,84.0,1.0,49.4863982345,ViratKohli
59,60,84.0,1.07142857143,50.5578268059,ViratKohli
60,61,83.0,1.34939759036,51.9072243963,ViratKohli
61,62,82.0,1.12195121951,53.0291756158,ViratKohli
62,63,82.0,1.26829268293,54.2974682987,ViratKohli
63,64,81.0,0.814814814815,55.1122831135,ViratKohli
64,65,81.0,1.0987654321,56.2110485456,ViratKohli
65,66,78.0,1.08974358974,57.3007921354,ViratKohli
66,67,75.0,1.04,58.3407921354,ViratKohli
67,68,74.0,1.14864864865,59.489440784,ViratKohli
68,69,72.0,1.30555555556,60.7949963396,ViratKohli
69,70,68.0,1.13235294118,61.9273492808,ViratKohli
70,71,67.0,0.776119402985,62.7034686838,ViratKohli
71,72,66.0,0.742424242424,63.4458929262,ViratKohli
72,73,65.0,1.36923076923,64.8151236954,ViratKohli
73,74,63.0,0.809523809524,65.6246475049,ViratKohli
74,75,61.0,0.786885245902,66.4115327508,ViratKohli
75,76,61.0,1.2131147541,67.6246475049,ViratKohli
76,77,60.0,1.15,68.7746475049,ViratKohli
77,78,60.0,1.05,69.8246475049,ViratKohli
78,79,57.0,1.0,70.8246475049,ViratKohli
79,80,57.0,1.0701754386,71.8948229435,ViratKohli
80,81,55.0,1.58181818182,73.4766411254,ViratKohli
81,82,54.0,1.22222222222,74.6988633476,ViratKohli
82,83,53.0,0.905660377358,75.6045237249,ViratKohli
83,84,52.0,1.28846153846,76.8929852634,ViratKohli
84,85,51.0,1.19607843137,78.0890636948,ViratKohli
85,86,50.0,1.22,79.3090636948,ViratKohli
86,87,48.0,0.9375,80.2465636948,ViratKohli
87,88,48.0,0.895833333333,81.1423970281,ViratKohli
88,89,47.0,1.25531914894,82.397716177,ViratKohli
89,90,46.0,0.934782608696,83.3324987857,ViratKohli
90,91,46.0,0.804347826087,84.1368466118,ViratKohli
91,92,44.0,1.15909090909,85.2959375209,ViratKohli
92,93,43.0,1.37209302326,86.6680305442,ViratKohli
93,94,41.0,1.34146341463,88.0094939588,ViratKohli
